,Cluster ID,Link Score,source file,FTSE Code,Stock Name,Company Name,Stock Industry,Stock Market,Stock Sector,Stock Symbol,Stock Market Cap,Address 1,Address 2,client_id,broker_id,exchange_name,ISIN,TICKER,SEDOL,Currency,Currency Code
6681,1249.0,0.2667382,1,31-407-1546,Matrix Service Company,Histogenics Corporation,Basic Industries,NASDAQ,Clothing,MTRX,$231.47M,Suite 65,78 Amoth Court,17-4072074,,NASDAQ,781040985-9,AD72 8996 4552 H2JA DMLN Y6LH,13537-422,Euro  ,EUR
7729,1250.0,0.26665023,1,52-364-6326,Essent Group Ltd.,"Ascent Capital Group, Inc.",Finance,NYSE,Outdoors,ESNT,$3.4B,PO Box 19524,29 Hovde Parkway,39-5504668,,NASDAQ,597105580-1,PS43 JRJL NY9T L6WV CN8T 3XUJ YC2F 2,63629-1607,Dollar,USD
221,1250.0,0.26665023,0,04-045-7106,Essent Group Ltd.,FelCor Lodging Trust Incorporated,Finance,NYSE,Tools,ESNT,$3.4B,12th Floor,87007 Columbus Center,01-4239248,48951-3042,NYSE,396751387-4,AZ61 AHNS GVLP XCKQ UEKG EPDP BGSM,,Peso,PHP
382,1251.0,0.26657876,0,07-548-1139,"Kandi Technologies Group, Inc.","Internet Initiative Japan, Inc.",Capital Goods,NASDAQ,Games,KNDI,$187.28M,Apt 1972,83271 Dawn Trail,86-9550079,49288-0918,NASDAQ,731984552-0,FR28 5205 2062 96EE GRA4 N0R3 A53,,Krone,NOK
5893,1251.0,0.26657876,1,15-597-7524,"Kandi Technologies Group, Inc.","FTD Companies, Inc.",Capital Goods,NASDAQ,Outdoors,KNDI,$187.28M,4th Floor,7277 Dovetail Court,35-4499801,,NASDAQ,399950676-8,SI58 7648 5034 7646 728,31722-208,Yuan Renminbi,CNY
6172,1252.0,0.26628277,1,21-261-6770,"AmTrust Financial Services, Inc.","Vitamin Shoppe, Inc",,NYSE,Shoes,AFSI^C,,Apt 712,6664 Homewood Place,02-9581958,,NYSE,910703664-7,NL25 WRTO 9512 7039 77,52815-125,Yen,JPY
2662,1252.0,0.26628277,0,52-560-3872,"AmTrust Financial Services, Inc.","Cidara Therapeutics, Inc.",Finance,NYSE,Toys,AFSS,,Suite 14,8 Donald Pass,22-8590417,10819-5802,NASDAQ,297072975-X,HR51 5286 3502 5294 4786 1,,Yuan Renminbi,CNY
8592,1253.0,0.26582974,1,69-916-8119,Capstead Mortgage Corporation,Eaton Vance Senior Income Trust,Consumer Services,NYSE,Automotive,CMO,$1.06B,Suite 44,899 Lyons Junction,36-7056185,,NYSE,475878604-6,HU07 2515 9394 5212 5313 6544 3807,65966-016,Zloty,PLN
4430,1253.0,0.26582974,0,88-028-8667,Capstead Mortgage Corporation,Deutsche Bank AG,Consumer Services,NYSE,Toys,CMO,$1.06B,Room 715,40090 Division Place,71-9165571,41520-809,NYSE,822287501-9,HU23 9410 8525 7917 6064 9863 6431,,Yuan Renminbi,CNY
4801,1254.0,0.2656045,0,94-741-7799,Diamondrock Hospitality Company,BlackRock Strategic Municipal Trust Inc. (The),Consumer Services,NYSE,Automotive,DRH,$2.32B,PO Box 5632,682 Dwight Lane,07-5088052,13537-164,NYSE,242266078-9,FR21 4313 3460 018U N0SV SKEN Y84,,Shekel,ILS
9277,1254.0,0.2656045,1,83-566-2666,Diamondrock Hospitality Company,iShares MSCI China ETF,Consumer Services,NYSE,Toys,DRH,$2.32B,Room 411,8377 Sutherland Way,01-1620909,,NASDAQ,125320775-5,FR03 6065 3318 88WC GYXA WGVD A85,49349-319,Yuan Renminbi,CNY
7136,1255.0,0.2654642,1,39-991-4710,"NRG Yield, Inc.",Garmin Ltd.,,NYSE,Jewelry,NYLD.A,,Apt 7,66 Bashford Place,26-5853023,,NASDAQ,831380565-X,LU16 715D 3WEB A7O2 KDLM,55648-926,Ruble,RUB
1139,1255.0,0.2654642,0,22-262-1445,"NRG Yield, Inc.","BankUnited, Inc.",Public Utilities,NYSE,Jewelry,NYLD,$3.22B,Room 1301,623 Washington Park,11-5921454,16590-010,NYSE,484253714-0,MU70 TDIA 8377 3160 8044 7531 464W PP,,Rupiah,IDR
2756,1256.0,0.26537544,0,54-150-4453,Nuveen Credit Opportunities 2022 Target Term Fund,Apollo Investment Corporation,,NYSE,Toys,JCO,,Apt 1403,2767 Rowland Plaza,83-1176094,49035-957,NYSE,092657625-9,BH56 RFBO CK4H YMDF WAGM XR,,Krona,SEK
6568,1256.0,0.26537544,1,29-131-2879,Nuveen Credit Opportunities 2022 Target Term Fund,ConocoPhillips,,NYSE,Games,JCO,,Apt 68,8622 Almo Plaza,18-7851896,,NYSE,148283847-8,BG61 GNLD 6632 71WW 2X9X JV,13733-010,Krona,SEK
8096,1257.0,0.26537544,1,60-038-6763,Annaly Capital Management Inc,Annaly Capital Management Inc,,NYSE,Baby,NLY^D,,19th Floor,26478 Northland Terrace,17-9236813,,NYSE,845730447-X,NL14 FZUY 3998 1479 53,0904-0478,Rupiah,IDR
2118,1257.0,0.26537544,0,42-131-1277,Annaly Capital Management Inc,"CGI Group, Inc.",,NYSE,Home,NLY^A,,17th Floor,3 Hoard Street,44-5260590,57469-058,NYSE,990554900-5,FR57 9592 9812 72QK 8OXT NCKO O42,,Yuan Renminbi,CNY
1447,1258.0,0.26537544,0,29-021-1874,"MFA Financial, Inc.",Boston Scientific Corporation,,NYSE,Clothing,MFA^B,,Apt 1487,12 8th Road,53-2108777,66116-464,NYSE,383847086-9,GB17 NLFC 0781 6856 3177 30,,Peso,COP
10041,1258.0,0.26537544,1,98-679-9889,"MFA Financial, Inc.","Interface, Inc.",,NYSE,Garden,MFA^B,,Suite 4,678 Warner Way,22-4727528,,NASDAQ,353543761-X,BE07 5445 7297 4154,49614-123,Yuan Renminbi,CNY
1259,1259.0,0.26537544,0,24-934-9847,Ashford Hospitality Trust Inc,Public Storage,,NYSE,Shoes,AHT^F,,PO Box 53513,17245 Texas Avenue,20-5116893,62011-0230,NYSE,478996749-2,AL86 8325 7892 JZEO 5S5K 060O SCWC,,Rial,YER
8967,1259.0,0.26537544,1,77-797-5286,Ashford Hospitality Trust Inc,Ashford Hospitality Trust Inc,,NYSE,Shoes,AHT^A,,18th Floor,31196 Coleman Plaza,89-2232746,,NYSE,842113634-8,PS65 ZUZZ QMXZ J7HU METM G3QI EJTY P,57237-026,Baht,THB
410,1260.0,0.26482865,0,07-909-3189,VEREIT Inc.,Cross Timbers Royalty Trust,Consumer Services,NYSE,Music,VER,$8.15B,14th Floor,1 Hudson Parkway,83-7784784,60429-366,NYSE,656747576-5,FR22 9828 6017 38EM 4SVO R0MC E72,,Zloty,PLN
9479,1260.0,0.26482865,1,87-809-6097,VEREIT Inc.,Limoneira Co,Consumer Services,NYSE,Home,VER,$8.15B,PO Box 37625,88902 Paget Point,23-0455957,,NASDAQ,632277424-7,FR32 5570 1077 2136 ABAC MRSC 899,59535-9401,Peso,PHP
2704,1261.0,0.26476383,0,53-311-1337,Pacific Special Acquisition Corp.,CMS Energy Corporation,Finance,NASDAQ,Baby,PAACU,,Suite 41,6504 Thompson Hill,78-0551859,53645-1141,NYSE,167078514-9,TN98 4878 7897 8434 2421 1241,,Yuan Renminbi,CNY
7012,1261.0,0.26476383,1,37-845-3574,Pacific Special Acquisition Corp.,"One Liberty Properties, Inc.",Finance,NASDAQ,Shoes,PAACW,,14th Floor,16062 Miller Hill,24-2989053,,NYSE,668747362-X,BR70 6758 4437 7628 1410 0416 673M E,52959-650,Yuan Renminbi,CNY
8557,1262.0,0.26473626,1,69-211-6553,RXi Pharmaceuticals Corporation,"Clear Channel Outdoor Holdings, Inc.",Health Care,NASDAQ,Shoes,RXIIW,,PO Box 17890,07499 Nova Drive,96-6679285,,NYSE,564965726-2,MR21 6804 9430 6991 8181 7144 254,0603-3739,Franc,XAF
3991,1262.0,0.26473626,0,79-002-9334,RXi Pharmaceuticals Corporation,"Axon Enterprise, Inc.",Health Care,NASDAQ,Sports,RXIIW,,Room 357,01 Morrow Hill,73-7398468,55910-563,NASDAQ,224156983-6,IL23 8459 5446 2827 0521 103,,Ruble,RUB
5599,1263.0,0.26469058,1,09-499-5709,Lexington Realty Trust,"Guidewire Software, Inc.",,NYSE,Tools,LXP^C,,Apt 681,99090 Park Meadow Alley,64-2159937,,NYSE,203166618-5,NL92 JGOJ 7596 8547 45,62713-943,Zloty,PLN
3003,1263.0,0.26469058,0,59-191-0774,Lexington Realty Trust,First Trust/Aberdeen Emerging Opportunity Fund,Consumer Services,NYSE,Jewelry,LXP,$2.46B,Apt 1116,0 Kingsford Plaza,23-1805907,61912-001,NYSE,327955025-4,LU89 952V NGKW 9NSE VTDQ,,Euro,EUR
4709,1264.0,0.26451123,0,93-263-0643,"ParkerVision, Inc.","Eastern Virginia Bankshares, Inc.",Technology,NASDAQ,Computers,PRKR,$41.59M,Room 134,4 Summer Ridge Crossing,95-3452571,41163-689,NASDAQ,962718223-0,CY84 0496 3501 YFXQ 9UNL 86W5 VJSL,,Peso,PHP
7658,1264.0,0.26451123,1,50-803-5097,"ParkerVision, Inc.",Harmony Merger Corp.,Technology,NASDAQ,Tools,PRKR,$41.59M,PO Box 78434,98 Declaration Terrace,10-3998555,,NASDAQ,491420379-0,FR13 4549 6778 70DZ XZX2 GCII D47,55111-478,Yuan Renminbi,CNY
9349,1265.0,0.26408476,1,84-954-2051,"DigitalGlobe, Inc","Bankrate, Inc.",Consumer Services,NYSE,Movies,DGI,$1.96B,2nd Floor,18 Weeping Birch Way,22-0887301,,NYSE,438829660-0,ES19 9840 4358 4760 4919 0540,36987-3233,Denar,MKD
1161,1265.0,0.26408476,0,22-837-6026,"DigitalGlobe, Inc","FSB Bancorp, Inc.",Consumer Services,NYSE,Home,DGI,$1.96B,Suite 99,78832 Sundown Lane,80-4792813,60512-9163,NASDAQ,636720642-6,FR65 5061 8349 29IR LFQY KID9 H48,,Euro,EUR
8525,1266.0,0.26386046,1,68-443-3344,AquaVenture Holdings Limited,"Frankly, Inc.",Public Utilities,NYSE,Baby,WAAS,$410.12M,Suite 45,1 Karstens Circle,67-4744545,,NASDAQ,317690902-0,CZ45 6236 7172 1156 4983 1440,57955-5043,Euro,EUR
2090,1266.0,0.26386046,0,41-709-4734,AquaVenture Holdings Limited,Tekla Healthcare Investors,Public Utilities,NYSE,Tools,WAAS,$410.12M,15th Floor,1844 Gulseth Pass,79-8383130,13630-0043,NYSE,235137905-5,MR24 2728 3048 6935 2926 8986 548,,Dollar,CAD
1713,1267.0,0.2637288,0,34-250-0889,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,"Children's Place, Inc. (The)",,NASDAQ,Music,DGRS,$100.44M,9th Floor,886 Donald Center,04-8670873,10424-165,NASDAQ,244598955-8,CZ59 7083 7822 4100 6156 0736,,Krona,SEK
6303,1267.0,0.2637288,1,23-874-0221,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,,NASDAQ,Books,DGRS,$100.44M,15th Floor,3743 Northport Place,70-5341117,,NYSE,912413084-2,RO47 CAGP X80S AI2Y ATCR LWLI,0268-1223,Forint,HUF
2024,1268.0,0.26371363,0,40-534-9763,CVD Equipment Corporation,"Heron Therapeutics, Inc.  ",Technology,NASDAQ,Kids,CVV,$71.88M,Room 1162,64880 Delaware Crossing,09-0673600,64471-185,NASDAQ,834230761-1,MC33 9669 5852 63RW 4SSR Y9GH 133,,Krone,NOK
6973,1268.0,0.26371363,1,37-007-0294,CVD Equipment Corporation,"Natural Grocers by Vitamin Cottage, Inc.",Technology,NASDAQ,Clothing,CVV,$71.88M,PO Box 80246,92 Bartillon Parkway,84-2762092,,NYSE,645520623-1,FR75 1172 7163 28JO L6B5 JQZZ 344,16714-378,Yuan Renminbi,CNY
9547,1269.0,0.26356044,1,89-273-8372,Nuveen New York AMT-Free Quality Municipal,Tellurian Inc.,,NYSE,Sports,NRK,$1.16B,PO Box 84056,95 Harbort Alley,92-4201965,,NASDAQ,666508939-8,DK50 2182 4644 4512 59,64679-171,Yen,JPY
4837,1269.0,0.26356044,0,95-481-5404,Nuveen New York AMT-Free Quality Municipal,"Twitter, Inc.",,NYSE,Automotive,NRK,$1.16B,19th Floor,218 Beilfuss Park,45-5476827,16590-020,NYSE,298317511-1,FI79 6603 9058 7724 71,,Yuan Renminbi,CNY
7833,1270.0,0.26338783,1,54-441-4019,iShares S&P Global Timber & Forestry Index Fund,Murphy Oil Corporation,,NASDAQ,Computers,WOOD,$264.23M,PO Box 24255,1 Mallory Place,69-3355700,,NYSE,517816968-9,TN52 8153 4375 5797 4360 9178,21130-477,Ruble,BYR
918,1270.0,0.26338783,0,17-616-0080,iShares S&P Global Timber & Forestry Index Fund,"Apptio, Inc.",,NASDAQ,Music,WOOD,$264.23M,Apt 1441,107 Parkside Crossing,79-8947828,59762-3140,NASDAQ,352212502-9,MT82 XYMS 3823 1BT5 VPY4 GROG BUY0 BPB,,Real,BRL
5760,1271.0,0.2631386,1,12-579-9067,CHS Inc,Great Plains Energy Inc,Consumer Services,NASDAQ,Movies,CHSCL,,PO Box 28568,2034 Loeprich Crossing,25-6236824,,NYSE,087736454-0,AT37 0915 6432 8683 8743,63824-459,Dollar,ZWL
5046,1271.0,0.2631386,0,98-893-4014,CHS Inc,"Entegris, Inc.",Consumer Services,NASDAQ,Books,CHSCO,$328.94M,PO Box 68147,96 Harbort Alley,07-1314198,76014-001,NASDAQ,819078945-7,FI98 1892 5413 3484 69,,Yuan Renminbi,CNY
2855,1272.0,0.26304567,0,56-378-3879,M&T Bank Corporation,Realty Income Corporation,,NYSE,Electronics,MTB^,,Suite 98,8998 Shopko Drive,67-2371811,21130-242,NYSE,761014454-1,BH16 RFVP TIJG RUNL R08U JO,,Pa'anga,TOP
7700,1272.0,0.26304567,1,51-732-6849,M&T Bank Corporation,Anworth Mortgage Asset  Corporation,,NYSE,Computers,MTB^,,Suite 62,01 Pond Circle,58-5313783,,NYSE,529118531-7,FR48 5715 8626 13VT DPDO DUHT K52,37000-145,Yuan Renminbi,CNY
2234,1273.0,0.2629393,0,44-501-7791,Stone Harbor Emerging Markets Total Income Fund,Comerica Incorporated,,NYSE,Sports,EDI,$155.93M,Apt 586,5 Bunting Place,94-8821648,37000-701,NYSE,301318807-3,FR70 0264 5693 62RY K5DP 2FBJ Z83,,Rupiah,IDR
7993,1273.0,0.2629393,1,58-075-5493,Stone Harbor Emerging Markets Total Income Fund,Navistar International Corporation,,NYSE,Toys,EDI,$155.93M,Suite 42,11 Westridge Parkway,74-5466381,,NYSE,572370845-7,EE41 6211 0345 3344 9360,48951-1219,Yuan Renminbi,CNY
2753,1274.0,0.26245397,0,54-096-2964,First Trust High Income ETF,"BWX Technologies, Inc.",,NASDAQ,Shoes,FTHI,$48.31M,PO Box 45874,0649 Mosinee Crossing,87-6245785,68084-582,NYSE,499354657-2,FR46 0395 2950 48L4 IQDM ACOD S98,,Rupiah,IDR
5636,1274.0,0.26245397,1,10-058-0602,First Trust High Income ETF,First Trust High Income ETF,,NASDAQ,Music,FTHI,$48.31M,PO Box 15099,80 Hazelcrest Center,50-0116086,,NYSE,309426850-1,MK71 067C OD3L TX1N X25,11084-116,Peso,ARS
7081,1275.0,0.26226744,1,38-956-2964,"Calumet Specialty Products Partners, L.P.",First Defiance Financial Corp.,Energy,NASDAQ,Clothing,CLMT,$329.78M,4th Floor,06 Novick Alley,26-4012072,,NASDAQ,621382857-5,HU71 2165 5785 2382 3972 6617 6339,11822-4650,Baht,THB
3225,1275.0,0.26226744,0,63-830-3932,"Calumet Specialty Products Partners, L.P.","Natuzzi, S.p.A.",Energy,NASDAQ,Industrial,CLMT,$329.78M,1st Floor,3715 Hovde Court,22-3414088,62742-4060,NYSE,054294599-1,MU40 YTOO 7395 6440 6590 3772 828G PE,,Yuan Renminbi,CNY
8411,1276.0,0.26213843,1,66-327-7897,"Prudential Financial, Inc.","Torchlight Energy Resources, Inc.",Finance,NYSE,Electronics,PRH,,Room 928,21 Dovetail Pass,40-1365071,,NASDAQ,093079817-1,FR15 8392 2431 36LC GNM5 I51N N04,0173-0561,Somoni,TJS
184,1276.0,0.26213843,0,03-291-4842,"Prudential Financial, Inc.","Paramount Group, Inc.",Finance,NYSE,Movies,PJH,,Suite 59,0954 David Street,27-6418944,61722-184,NYSE,460387199-6,BG62 GTSP 5996 94MZ FYMD F9,,Rupiah,IDR
1473,1277.0,0.26213843,0,29-650-7805,Thomson Reuters Corp,New Mountain Finance Corporation,Consumer Services,NYSE,Grocery,TRI,$32.96B,Suite 58,902 Gulseth Avenue,58-7911105,68875-0103,NYSE,964584471-1,GL82 8395 6023 1464 97,,Dollar,USD
8496,1277.0,0.26213843,1,67-878-1096,Thomson Reuters Corp,Thomson Reuters Corp,Consumer Services,NYSE,Baby,TRI,$32.96B,Suite 21,66499 Cascade Place,10-2544868,,NASDAQ,786278152-X,SA04 31J4 FHSL IUO1 ECNQ 8YFY,52544-733,Peso,PHP
10034,1278.0,0.2619294,1,98-584-0743,"VBI Vaccines, Inc.","GWG Holdings, Inc",Health Care,NASDAQ,Industrial,VBIV,$180.27M,2nd Floor,3 Debra Court,80-0387512,,NASDAQ,356010328-2,DK20 4379 3491 2184 28,67253-741,Dollar,USD
1060,1278.0,0.2619294,0,20-686-8785,"VBI Vaccines, Inc.",Invesco Senior Income Trust,Health Care,NASDAQ,Tools,VBIV,$180.27M,8th Floor,19573 Helena Court,43-0432075,65734-270,NYSE,449962307-3,KZ84 536F HGJH RUMP RN9I,,Peso,MXN
8933,1279.0,0.2616655,1,77-056-5018,"Maiden Holdings, Ltd.",Principal Real Estate Income Fund,Finance,NYSE,Baby,MHNC,,Suite 73,185 8th Hill,00-5455540,,NYSE,682341859-1,PL35 4837 8752 7787 2508 2119 2438,41250-281,Hryvnia,UAH
1858,1279.0,0.2616655,0,37-290-0361,"Maiden Holdings, Ltd.",BlackRock Resources,,NYSE,Beauty,MHLA,,PO Box 92368,414 Garrison Crossing,85-1798489,62175-381,NYSE,518754923-5,DO20 W1FX 7277 8525 0728 4853 4336,,Krona,SEK
9945,1280.0,0.2616655,1,97-046-0708,Dataram Corporation,Dataram Corporation,Technology,NASDAQ,Industrial,DRAM,$23.54M,15th Floor,24443 Lakeland Lane,56-1622215,,NYSE,140495844-4,VG69 JKVI 5200 0500 6759 1042,0168-0202,Franc,XPF
1371,1280.0,0.2616655,0,27-398-6899,Dataram Corporation,"Dreyfus Strategic Municipals, Inc.",Technology,NASDAQ,Home,DRAM,$23.54M,Room 240,5 West Point,38-7864837,11523-7344,NYSE,156724750-4,FR98 5663 2323 24SI XOWT SONB B75,,Euro,EUR
3684,1281.0,0.26131555,0,73-170-2644,"United-Guardian, Inc.","Avangrid, Inc.",Consumer Non-Durables,NASDAQ,Movies,UG,$70.33M,Suite 8,1391 Granby Road,09-0896063,59078-043,NYSE,482527942-2,HU15 4951 4374 8156 5555 1482 2833,,Peso,PHP
5137,1281.0,0.26131555,1,00-781-0598,"United-Guardian, Inc.","CoreCivic, Inc.",Consumer Non-Durables,NASDAQ,Home,UG,$70.33M,Room 1390,396 Sundown Point,15-1528651,,NYSE,102765407-X,AL90 5880 4602 VSXG FJ7D GY6P WDTQ,57664-112,Peso,PHP
5509,1282.0,0.2612677,1,08-153-1176,Nanometrics Incorporated,Costamare Inc.,Capital Goods,NASDAQ,Clothing,NANO,$687.35M,Apt 941,95872 Lindbergh Crossing,82-4410312,,NYSE,019909932-4,LT06 7258 2279 2442 2518,0054-3532,Euro,EUR
2837,1282.0,0.2612677,0,56-039-1580,Nanometrics Incorporated,"Fauquier Bankshares, Inc.",Capital Goods,NASDAQ,Tools,NANO,$687.35M,PO Box 9923,9830 Ludington Park,19-1644290,51991-794,NASDAQ,707973628-5,IS71 6812 2078 1044 5856 4863 94,,Koruna,CZK
3205,1283.0,0.2604071,0,63-425-9582,Wells Fargo & Company,"Insteel Industries, Inc.",,NYSE,Outdoors,WFC^O,,PO Box 77361,59 Pond Avenue,92-6655647,37012-656,NASDAQ,284461203-2,FR19 8532 5247 10SA CVW8 Z6TY N87,,Yen,JPY
8574,1283.0,0.2604071,1,69-614-5388,Wells Fargo & Company,"Blackrock MuniHoldings Quality Fund, Inc.",,NYSE,Clothing,WFC^J,,Suite 14,90561 Kipling Lane,15-8304344,,NYSE,212850217-9,FR87 4360 1532 34OB AQTU RMFR P40,43063-328,Quetzal,GTQ
2137,1284.0,0.2602172,0,42-573-1731,"Maxwell Technologies, Inc.",IDT Corporation,Miscellaneous,NASDAQ,Outdoors,MXWL,$209.5M,9th Floor,070 Northwestern Crossing,66-0984906,43742-0492,NYSE,271435886-1,FR91 9592 6334 48F2 FGYC 7IGB C72,,Krona,SEK
7284,1284.0,0.2602172,1,42-799-8769,"Maxwell Technologies, Inc.","SeaChange International, Inc.",Miscellaneous,NASDAQ,Clothing,MXWL,$209.5M,14th Floor,7531 Rigney Road,70-9722961,,NASDAQ,767613340-8,AE45 4053 3093 6469 3968 285,55154-6641,Yuan Renminbi,CNY
7489,1285.0,0.25989696,1,47-199-6033,Tejon Ranch Co,Tejon Ranch Co,Finance,NYSE,Baby,TRC,$451.07M,17th Floor,6267 Summer Ridge Plaza,93-0887283,,NASDAQ,626070304-X,FR34 5092 6961 75ME 0D5Y 9ARH A94,62713-818,Ruble,RUB
3644,1285.0,0.25989696,0,72-380-7457,Tejon Ranch Co,"Parke Bancorp, Inc.",Finance,NYSE,Computers,TRC,$451.07M,Room 1737,493 South Alley,73-7489861,76214-044,NASDAQ,289859864-X,VG87 ZFLY 5792 2032 6658 4356,,Yuan Renminbi,CNY
7629,1286.0,0.259863,1,50-228-6826,Finisar Corporation,RXi Pharmaceuticals Corporation,Technology,NASDAQ,Health,FNSR,$3.1B,PO Box 76897,07 Jenifer Place,32-5881771,,NASDAQ,983382013-1,IT59 H056 8929 025S XSIC GWTG YNH,51531-5397,Zloty,PLN
3182,1286.0,0.259863,0,63-023-1567,Finisar Corporation,"Pulmatrix, Inc.",Technology,NASDAQ,Music,FNSR,$3.1B,Room 440,81598 Esker Junction,63-3119278,49963-118,NASDAQ,005521697-8,FR89 7942 0760 57U9 U1FT W50M 149,,Euro,EUR
5191,1287.0,0.25954834,1,01-788-4872,Advanced Accelerator Applications S.A.,Advanced Accelerator Applications S.A.,Health Care,NASDAQ,Clothing,AAAP,$1.63B,6th Floor,09325 Lien Center,03-6808502,,NYSE,276576802-1,FR06 6278 9006 95RM 5QAM 6O74 H49,11673-096,Pound,EGP
1567,1287.0,0.25954834,0,31-522-3922,Advanced Accelerator Applications S.A.,Trinity Biotech plc,Health Care,NASDAQ,Sports,AAAP,$1.63B,PO Box 26243,8 Rieder Trail,52-6458654,0641-0956,NASDAQ,102423156-9,AZ80 IBCK LMXH Y9FX OTWX FUYG PTQI,,Real,BRL
5428,1288.0,0.2593092,1,06-497-2639,"Provident Financial Holdings, Inc.","Provident Financial Holdings, Inc.",Finance,NASDAQ,Jewelry,PROV,$154.12M,10th Floor,799 Cherokee Center,19-0027849,,NASDAQ,893018567-3,PS70 NALC TTP1 YCPV UHVT XHMO AEIT J,68084-467,Dollar,USD
600,1288.0,0.2593092,0,11-485-0849,"Provident Financial Holdings, Inc.",Cheetah Mobile Inc.,Finance,NASDAQ,Home,PROV,$154.12M,Apt 1609,259 Namekagon Center,51-9139253,55312-884,NYSE,805173280-4,FR05 6635 4304 24XT 0LU7 TLFG X45,,Ariary,MGA
5491,1289.0,0.2592421,1,07-726-6238,MFS Municipal Income Trust,"MyoKardia, Inc.",,NYSE,Clothing,MFM,$294.49M,Apt 1840,7 Muir Junction,49-5530165,,NASDAQ,469564249-2,FR64 9719 6709 75JY DKI2 58PA 435,0026-3796,Dollar,USD
3518,1289.0,0.2592421,0,69-906-4149,MFS Municipal Income Trust,"LGI Homes, Inc.",,NYSE,Computers,MFM,$294.49M,Room 1306,276 Victoria Way,26-9640063,35356-504,NASDAQ,516825435-7,FR67 3635 0405 39W5 L10Z BEMD P84,,Yuan Renminbi,CNY
1992,1290.0,0.2592421,0,40-053-4563,Wingstop Inc.,"A V Homes, Inc.",Consumer Services,NASDAQ,Health,WING,$875.69M,15th Floor,493 Welch Place,40-8554725,76237-157,NASDAQ,638637228-X,FR08 0673 4650 99WP XXED R6DE K09,,Yuan Renminbi,CNY
6202,1290.0,0.2592421,1,21-801-2976,Wingstop Inc.,"BroadSoft, Inc.",Consumer Services,NASDAQ,Computers,WING,$875.69M,Room 1365,11438 Prentice Crossing,48-5722821,,NASDAQ,000614489-6,AZ82 TBVW JQ3J SCHX IWMU BHXS VBZT,55566-8303,Yuan Renminbi,CNY
1833,1291.0,0.2592421,0,36-745-2212,Honeywell International Inc.,Partner Communications Company Ltd.,Capital Goods,NYSE,Shoes,HON,$102.63B,Apt 1830,08 Cherokee Parkway,69-7318199,63868-714,NASDAQ,727043168-X,FR64 5103 1861 22GY NSW7 MABI K91,,Rial,YER
7460,1291.0,0.2592421,1,46-468-1313,Honeywell International Inc.,"Bio-Path Holdings, Inc.",Capital Goods,NYSE,Grocery,HON,$102.63B,Room 842,42997 Forest Run Road,04-0827890,,NASDAQ,999006316-8,SI58 1745 1698 4029 312,76126-027,Euro,EUR
1725,1292.0,0.2592421,0,34-433-3618,Silvercrest Asset Management Group Inc.,"Proofpoint, Inc.",Finance,NASDAQ,Tools,SAMG,$172.77M,Suite 32,08968 Oak Hill,80-2183509,16729-169,NASDAQ,411155456-3,FR78 6751 2025 40Y7 9KNI ANDY 523,,Euro,EUR
7846,1292.0,0.2592421,1,54-784-4985,Silvercrest Asset Management Group Inc.,"Pacific Ethanol, Inc.",Finance,NASDAQ,Health,SAMG,$172.77M,Room 370,72 Nevada Court,94-4909012,,NASDAQ,570730573-4,FR46 2059 6606 48D8 QMBO MEIT 243,41520-957,Koruna,CZK
5072,1293.0,0.2591526,0,99-427-0652,Antero Midstream GP LP,Nuveen North Carolina Quality Municipal Income Fd,Public Utilities,NYSE,Tools,AMGP,$3.98B,Suite 76,1010 Gale Parkway,13-9686727,49035-009,NYSE,892570599-0,BR73 8755 1110 2901 7240 5756 322B H,,Ruble,RUB
7396,1293.0,0.2591526,1,45-203-4826,Antero Midstream GP LP,Whiting Petroleum Corporation,Public Utilities,NYSE,Health,AMGP,$3.98B,PO Box 57120,0227 Golf Way,10-5459915,,NYSE,510404253-7,KW42 VMEJ KW2A UVBO 3JIK BSJI LKAV 5V,0603-4615,Yuan Renminbi,CNY
136,1294.0,0.25907978,0,02-479-3881,1st Constitution Bancorp (NJ),"Urban One, Inc. ",Finance,NASDAQ,Industrial,FCCY,$136.87M,Apt 1609,7125 Manley Junction,63-6167288,52257-1002,NASDAQ,849748004-X,HU34 1090 6998 9600 4770 1814 8591,,Yuan Renminbi,CNY
7337,1294.0,0.25907978,1,43-992-2379,1st Constitution Bancorp (NJ),1st Constitution Bancorp (NJ),Finance,NASDAQ,Jewelry,FCCY,$136.87M,Suite 41,795 Grover Way,63-1060743,,NYSE,349174800-3,PS79 KIPV D2OO 4YUV D3JD A3Q4 2ECA Q,51386-706,Yuan Renminbi,CNY
6986,1295.0,0.25904825,1,37-206-5075,"Gabelli Convertible and Income Securities Fund, Inc. (The)","Novavax, Inc.",,NYSE,Baby,GCV,$71.34M,PO Box 84692,0 Talisman Crossing,13-4005932,,NASDAQ,426726597-6,AL85 9974 9890 ZQNV MEP9 9AFQ MQCD,0536-3086,Euro,EUR
3060,1295.0,0.25904825,0,60-318-0637,"Gabelli Convertible and Income Securities Fund, Inc. (The)",Kinross Gold Corporation,,NYSE,Automotive,GCV,$71.34M,4th Floor,7 Susan Point,03-0386106,55910-379,NYSE,035216642-8,LI93 6136 83DJ RVIP PWVV H,,Yuan Renminbi,CNY
